,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-6.58  ,-7.37  ,-7.54  ,-8.26  ,-8.01  ,-5.90
199012  ,-1.81  ,-1.12  ,-1.92   ,4.69   ,0.66  ,-2.46
199101  ,-2.30  ,-2.87  ,-2.39   ,2.65   ,3.03   ,1.18
199102  ,21.18  ,12.73  ,10.41  ,16.43   ,9.59   ,6.57
199103  ,-1.77  ,-2.02  ,-1.36  ,-5.09  ,-4.96  ,-3.79
199104   ,1.45   ,1.71   ,1.95   ,1.07   ,1.14   ,1.83
199105  ,-2.43  ,-1.31  ,-0.47  ,-0.42  ,-0.05  ,-0.17
199106  ,-5.33  ,-3.93  ,-3.22  ,-6.89  ,-7.18  ,-5.36
199107   ,0.43   ,0.84   ,2.05   ,1.64   ,3.21   ,5.43
199108  ,-4.63  ,-3.23   ,1.29  ,-4.21  ,-3.86  ,-1.31
199109   ,5.30   ,6.70   ,7.24   ,6.56   ,6.33   ,5.50
199110   ,0.19   ,1.38   ,1.63   ,1.03   ,0.98   ,3.73
199111  ,-4.54  ,-3.58  ,-2.75  ,-6.42  ,-5.52  ,-4.59
199112   ,1.49   ,2.70   ,2.85   ,3.53   ,5.22   ,4.04
199201  ,-2.72  ,-2.12  ,-0.29  ,-1.86  ,-2.63  ,-3.18
199202  ,-1.25  ,-1.69  ,-0.41  ,-5.04  ,-3.94  ,-1.81
199203  ,-6.59  ,-5.07  ,-4.78  ,-7.69  ,-7.27  ,-6.10
199204  ,-2.46  ,-1.67   ,0.62  ,-0.93  ,-1.67   ,0.63
199205   ,7.54   ,7.90   ,6.99   ,6.86   ,7.05   ,6.36
199206  ,-5.41  ,-2.50  ,-0.61  ,-8.40  ,-3.76  ,-2.51
199207  ,-6.92  ,-4.25  ,-4.70  ,-2.35  ,-2.72  ,-3.56
199208   ,3.06   ,2.04   ,1.30  ,12.58   ,4.66   ,4.85
199209  ,-4.39  ,-1.75  ,-2.58  ,-4.60  ,-2.44  ,-1.69
199210  ,-6.95  ,-6.63  ,-5.82  ,-5.63  ,-5.91  ,-4.56
199211  ,-2.30  ,-1.85  ,-1.51   ,1.89   ,0.82   ,0.00
199212   ,2.39   ,1.88   ,1.12  ,-0.00   ,0.11   ,0.79
199301   ,1.16   ,1.50   ,3.15   ,0.41  ,-0.15  ,-0.09
199302   ,4.27   ,3.13   ,4.04   ,3.48   ,4.15   ,2.36
199303  ,12.45   ,8.61   ,8.94  ,10.69  ,10.82   ,9.32
199304  ,11.65   ,9.66   ,9.38   ,9.64   ,9.33   ,9.59
199305   ,8.56   ,7.90   ,7.51   ,1.87   ,2.17   ,4.46
199306  ,-5.11  ,-4.02  ,-2.23  ,-4.09  ,-3.58  ,-2.41
199307   ,1.30   ,0.40   ,1.74   ,4.08   ,3.78   ,5.65
199308   ,6.81   ,5.91   ,5.34   ,4.79   ,5.42   ,4.40
199309  ,-0.89  ,-1.20  ,-1.97  ,-2.89  ,-2.45  ,-3.95
199310  ,-0.60  ,-1.31   ,0.36   ,0.35   ,1.85   ,1.29
199311  ,-4.69  ,-7.04  ,-8.35  ,-6.62  ,-9.06 ,-11.48
199312   ,5.03   ,5.36   ,6.76   ,5.88   ,6.08   ,6.04
199401  ,12.74  ,12.31  ,13.09   ,9.05   ,8.89  ,13.00
199402   ,1.13   ,1.65   ,2.25  ,-0.89  ,-0.83   ,0.59
199403  ,-0.21  ,-0.06  ,-1.93  ,-1.87  ,-3.46  ,-3.30
199404   ,3.96   ,4.59   ,3.60   ,3.61   ,4.35   ,2.08
199405  ,-0.51  ,-0.56  ,-0.85  ,-0.95  ,-0.27  ,-0.23
199406   ,2.98   ,2.09   ,1.14   ,1.02   ,1.66   ,3.52
199407  ,-0.09   ,0.71   ,1.22   ,1.79   ,0.90  ,-1.55
199408   ,0.46   ,0.51   ,0.28   ,1.14   ,1.89   ,1.46
199409  ,-1.92  ,-2.19  ,-0.95  ,-3.35  ,-2.77  ,-2.52
199410   ,0.86   ,1.47   ,1.80   ,2.28   ,3.14   ,3.68
199411  ,-6.67  ,-6.19  ,-5.88  ,-4.40  ,-5.77  ,-6.24
199412  ,-0.01   ,1.51   ,1.30   ,1.01   ,1.28   ,1.02
199501  ,-2.37  ,-2.17  ,-3.47  ,-3.99  ,-3.79  ,-6.02
199502  ,-0.92  ,-0.73   ,0.32  ,-1.30  ,-0.76  ,-0.83
199503   ,2.10   ,3.67   ,4.35   ,8.04   ,6.37   ,4.40
199504   ,1.42   ,1.68   ,2.09   ,3.35   ,3.06   ,4.46
199505  ,-1.25  ,-1.12  ,-0.68  ,-2.29  ,-1.46  ,-1.14
199506  ,-1.32  ,-1.22   ,0.76  ,-2.01  ,-1.92  ,-0.15
199507   ,4.39   ,4.40   ,3.86   ,6.29   ,5.47   ,4.82
199508  ,-0.23  ,-1.48  ,-1.32  ,-2.42  ,-3.77  ,-2.52
199509  ,-1.66   ,0.37   ,2.49  ,-0.97   ,0.68   ,2.15
199510  ,-3.20  ,-1.50  ,-0.62  ,-3.74  ,-1.81  ,-1.17
199511   ,0.27   ,0.94   ,1.26   ,1.39   ,2.35   ,2.47
199512   ,4.88   ,3.02   ,2.59   ,4.95   ,4.01   ,2.28
199601   ,2.83   ,1.55   ,2.72   ,1.54   ,0.67  ,-0.34
199602   ,1.36   ,1.67   ,2.69   ,0.45   ,0.20   ,0.42
199603   ,0.83   ,2.14   ,2.41   ,1.41   ,1.58   ,2.71
199604   ,4.61   ,5.35   ,6.09   ,4.51   ,3.18   ,3.18
199605   ,0.29   ,0.63   ,2.43  ,-1.91  ,-0.77  ,-1.04
199606  ,-0.92   ,0.29  ,-1.51  ,-0.58   ,0.47   ,0.86
199607  ,-1.94  ,-2.90  ,-5.68  ,-2.59  ,-2.97  ,-3.87
199608  ,-0.10   ,0.16   ,2.16  ,-1.15   ,0.19   ,0.87
199609  ,-1.46   ,0.04   ,0.61   ,2.38   ,2.18   ,3.25
199610  ,-0.59  ,-0.07   ,0.71  ,-3.22  ,-0.64  ,-0.10
199611   ,0.72   ,1.29   ,1.47   ,2.65   ,3.27   ,4.77
199612  ,-2.88  ,-2.61  ,-2.76  ,-2.87  ,-1.05   ,0.03
199701  ,-2.80  ,-3.22  ,-1.05  ,-5.22  ,-3.89  ,-2.03
199702   ,0.63   ,1.61   ,2.04   ,1.47   ,1.66   ,0.68
199703  ,-3.45  ,-2.49  ,-1.91  ,-1.28   ,0.50  ,-0.38
199704  ,-2.98  ,-1.57  ,-1.04  ,-1.58  ,-0.23   ,3.62
199705   ,9.73   ,7.64   ,6.94   ,7.49   ,6.89   ,8.84
199706   ,0.54   ,2.49   ,1.03   ,5.74   ,4.42   ,4.61
199707  ,-6.18  ,-2.84   ,1.30  ,-3.18   ,0.49   ,5.28
199708  ,-4.14  ,-3.16   ,0.46  ,-4.87  ,-6.68  ,-7.87
199709  ,-3.47   ,0.28   ,3.98   ,0.81   ,4.58   ,8.63
199710  ,-2.35  ,-3.65  ,-8.52  ,-8.16  ,-6.85  ,-7.35
199711 ,-10.69  ,-4.98  ,-4.80  ,-4.60  ,-0.29  ,-1.21
199712  ,-8.22  ,-3.52  ,-1.19  ,-3.71   ,0.94   ,1.95
199801  ,11.03   ,1.70   ,0.44   ,3.99   ,3.35   ,4.66
199802   ,8.08   ,6.01   ,8.35   ,8.70   ,7.37   ,4.42
199803  ,-1.30   ,2.71   ,6.87   ,1.84   ,4.62   ,3.13
199804  ,-0.77   ,1.32   ,2.60   ,2.09   ,0.70   ,1.16
199805  ,-2.06  ,-0.36   ,0.50  ,-0.71   ,0.11   ,0.44
199806  ,-3.65  ,-3.15  ,-4.12  ,-2.68   ,0.18   ,1.36
199807  ,-3.35  ,-2.18   ,0.30  ,-2.56   ,0.61   ,3.45
199808 ,-12.21  ,-9.31 ,-11.15 ,-12.24 ,-11.10 ,-12.43
199809  ,-2.00  ,-1.57  ,-2.70   ,0.79  ,-2.47  ,-5.84
199810   ,8.39   ,6.04   ,6.41  ,12.24   ,9.75   ,8.36
199811   ,4.47   ,2.85   ,4.17   ,5.48   ,4.28   ,3.63
199812  ,-0.70   ,1.69   ,3.25  ,-0.46   ,2.28   ,7.03
199901  ,-0.92  ,-1.34   ,4.26   ,0.02  ,-1.73   ,4.08
199902  ,-0.97  ,-1.37   ,1.32   ,0.12  ,-2.61  ,-3.34
199903   ,7.50   ,3.62   ,4.54   ,9.96   ,4.17   ,0.20
199904  ,11.15   ,5.85   ,6.72   ,9.03   ,5.11   ,1.01
199905  ,-1.02  ,-1.17   ,0.23  ,-4.82  ,-4.90  ,-3.35
199906   ,4.81   ,5.92  ,12.41   ,4.09   ,4.28   ,5.30
199907   ,3.26   ,3.67   ,6.16   ,3.22   ,2.88   ,4.11
199908   ,1.07   ,1.65   ,8.64   ,1.02   ,0.80   ,2.43
199909   ,0.27   ,1.34   ,3.65   ,0.53   ,0.91   ,3.65
199910  ,-2.63  ,-1.92   ,2.90   ,0.25   ,2.96   ,7.25
199911  ,-2.83  ,-1.93   ,6.06  ,-2.59   ,2.04  ,14.77
199912   ,0.65   ,2.55   ,4.65   ,3.07   ,6.03  ,14.93
200001  ,-1.88  ,-0.23   ,1.44  ,-9.23  ,-5.88  ,-6.10
200002   ,0.21  ,-0.57   ,9.70  ,-1.96   ,0.27   ,8.66
200003   ,6.49   ,4.30  ,-4.41   ,7.62   ,7.08  ,-4.14
200004  ,-5.24  ,-5.75 ,-15.47  ,-1.39  ,-4.10 ,-10.07
200005   ,2.58   ,2.50  ,-3.56   ,4.28   ,0.69  ,-8.87
200006   ,6.63   ,5.12   ,4.66   ,3.27   ,3.65   ,3.06
200007  ,-4.43  ,-3.63  ,-4.46  ,-2.63  ,-1.97  ,-6.14
200008   ,1.02   ,2.24   ,5.96   ,0.95   ,0.43   ,3.38
200009  ,-3.85  ,-2.96  ,-4.77  ,-2.58  ,-2.77  ,-8.01
200010  ,-8.14  ,-5.76  ,-9.56   ,1.15  ,-2.31  ,-7.19
200011  ,-1.93  ,-0.57  ,-6.71  ,-3.53  ,-0.59  ,-8.08
200012   ,1.27   ,1.94   ,2.99  ,-2.14   ,4.28   ,1.48
200101   ,3.74   ,1.14   ,1.79   ,5.71  ,-0.57  ,-4.03
200102  ,-4.99  ,-0.31  ,-3.04 ,-14.05  ,-5.96  ,-3.82
200103 ,-10.45  ,-5.55  ,-6.70  ,-9.55  ,-7.44  ,-6.43
200104   ,6.57   ,7.51   ,8.02  ,11.96   ,6.48   ,5.35
200105  ,-1.74   ,0.43   ,1.78  ,-7.28  ,-0.59  ,-0.83
200106  ,-7.93  ,-0.58  ,-0.85  ,-8.25  ,-1.93   ,0.53
200107  ,-5.69  ,-2.39  ,-2.99  ,-3.78  ,-1.96  ,-1.95
200108  ,-3.57   ,1.85   ,3.23  ,-7.94   ,0.41   ,1.53
200109 ,-19.26  ,-9.38  ,-9.59 ,-13.82  ,-9.54  ,-7.50
200110   ,7.25   ,2.57   ,3.29   ,6.07   ,0.81   ,2.00
200111   ,8.24   ,1.27  ,-0.63   ,8.54   ,1.51  ,-0.42
200112  ,-2.72  ,-2.31  ,-1.98  ,-1.92   ,1.17   ,0.57
200201  ,-2.36  ,-2.22  ,-0.94  ,-7.28  ,-3.85  ,-2.77
