Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199001   ,0.08   ,9.66   ,6.42  ,-0.45   ,0.73   ,4.10
199002   ,5.64  ,15.68  ,10.74   ,4.79   ,2.89   ,3.83
199003  ,-5.88  ,-5.38  ,-9.03  ,-3.86  ,-4.58  ,-4.52
199004  ,-0.36  ,-3.67 ,-12.68  ,-2.03   ,0.42   ,1.33
199005   ,1.99   ,4.88  ,10.90   ,9.92   ,6.45  ,11.47
199006   ,0.08  ,-1.77  ,-3.05   ,1.68   ,7.58   ,4.32
199007   ,7.08  ,11.07  ,10.30   ,3.35   ,8.31   ,6.83
199008 ,-13.41 ,-14.60 ,-20.46 ,-12.01 ,-12.49 ,-14.84
199009  ,-5.90  ,-6.35  ,-8.23  ,-9.84 ,-11.53 ,-14.65
199010   ,5.99  ,-3.16  ,-2.21   ,0.00   ,0.85   ,1.77
199011  ,-4.66  ,-7.09  ,-4.51  ,-5.62  ,-3.67  ,-2.30
199012   ,2.36   ,1.76   ,3.37   ,3.66   ,1.21  ,-0.99
199101   ,1.05   ,4.60   ,1.38   ,2.93   ,0.86   ,1.42
199102  ,21.00   ,8.55   ,9.78  ,15.84  ,14.62   ,9.38
199103  ,-0.20   ,1.29   ,0.80  ,-0.92   ,3.67   ,4.99
199104  ,-0.49  ,-8.28   ,5.60  ,-2.27   ,2.40   ,1.00
199105   ,0.61   ,8.74   ,2.84   ,2.27   ,4.36   ,7.32
199106  ,-2.36  ,-3.06   ,0.73  ,-4.00  ,-2.98  ,-4.54
199107  ,-5.98  ,-1.65  ,-5.23   ,1.32   ,6.03   ,0.76
199108  ,-5.29  ,-4.05  ,-1.31   ,2.05   ,3.20  ,-2.21
199109  ,-3.05  ,-0.71  ,-1.13  ,-0.90  ,-2.08  ,-2.84
199110   ,0.94   ,1.32   ,2.89   ,7.90   ,4.60   ,7.52
199111   ,1.69   ,3.72   ,0.03  ,-1.53   ,1.52  ,-1.46
199112   ,0.40   ,8.48   ,1.94   ,7.61   ,7.59   ,8.12
199201   ,5.72  ,-0.46   ,4.71   ,3.90   ,6.52  ,11.55
199202   ,8.87   ,4.57   ,7.87  ,-0.96   ,0.15   ,5.23
199203  ,-1.70  ,-0.03   ,3.21   ,0.49  ,-5.79  ,-2.51
199204   ,3.00   ,3.48   ,5.23   ,1.24  ,-0.49  ,-1.55
199205   ,0.57  ,-1.23   ,3.83  ,-4.43  ,-0.16   ,0.07
199206  ,-9.48  ,-5.99  ,-0.65  ,-5.79  ,-4.00  ,-5.52
199207  ,-3.95   ,1.08   ,2.76  ,-3.50  ,-1.75   ,0.64
199208  ,-7.62  ,-4.71  ,-0.21  ,-4.88  ,-4.42  ,-0.96
199209  ,-1.94  ,-2.97  ,-7.28  ,-2.06   ,0.05  ,-0.40
199210   ,6.37   ,5.56   ,6.63   ,6.09   ,3.17   ,3.18
199211  ,-0.69   ,1.82  ,-3.62   ,2.38  ,-1.70  ,-1.59
199212   ,0.74   ,3.10   ,3.63   ,2.72   ,1.02   ,1.54
199301  ,-0.99  ,-1.81  ,-1.33  ,-1.42   ,0.37   ,1.10
199302   ,1.32   ,4.58   ,7.58   ,3.84   ,1.46   ,4.44
199303   ,5.18   ,4.00   ,2.85   ,4.17   ,3.04   ,0.20
199304   ,4.05   ,8.38   ,6.21   ,2.88   ,1.78   ,5.87
199305   ,6.61  ,12.57  ,11.02   ,3.24   ,5.48   ,2.58
199306  ,-0.19  ,-1.95  ,-4.60   ,2.36   ,0.10  ,-0.50
199307   ,3.84   ,4.59   ,6.12   ,3.64   ,4.89   ,2.67
199308   ,8.05  ,10.16   ,9.54   ,6.37   ,9.23   ,8.98
199309   ,4.65   ,9.91  ,12.93   ,3.07   ,4.41   ,6.35
199310   ,5.70  ,10.32  ,19.32   ,8.44   ,9.48  ,12.99
199311   ,3.22  ,10.67  ,10.18   ,2.68   ,6.58   ,5.97
199312  ,17.21  ,22.11  ,20.51  ,18.16  ,20.83  ,17.43
199401   ,6.35  ,-4.61 ,-12.45  ,-0.89  ,-1.74  ,-1.10
199402   ,0.46  ,10.96   ,5.91  ,-1.69  ,-1.21  ,-1.24
199403  ,-7.43 ,-10.95 ,-11.26 ,-10.67 ,-11.94 ,-12.30
199404  ,-3.67  ,-0.95   ,1.59   ,1.70   ,0.31  ,-0.42
199405   ,0.76  ,-2.28  ,-2.05   ,2.48   ,2.53  ,-0.85
199406  ,-0.84   ,0.90  ,-2.76  ,-3.87  ,-2.37  ,-2.42
199407   ,4.50   ,5.21   ,4.77   ,6.63   ,6.22   ,8.11
199408  ,13.45  ,15.74  ,20.15   ,7.19  ,11.33  ,13.28
199409   ,4.99   ,6.34   ,7.26   ,1.17   ,1.95   ,3.12
199410  ,-1.44  ,-3.29  ,-2.81  ,-4.65  ,-1.77  ,-2.67
199411  ,-5.33  ,-2.47  ,-2.64  ,-4.73  ,-3.98  ,-4.30
199412  ,-6.03  ,-8.19  ,-9.25  ,-9.24 ,-10.51  ,-5.78
199501 ,-15.87 ,-15.70  ,-9.26 ,-15.09 ,-12.43  ,-9.52
