


  Average Equal Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199001   ,1.79   ,9.42   ,8.62   ,0.03   ,4.64   ,6.11
199002   ,3.94  ,13.28   ,9.28   ,3.87   ,3.50   ,5.10
199003  ,-2.78  ,-3.98  ,-5.76  ,-2.08  ,-3.59  ,-4.25
199004   ,0.48   ,1.12 ,-10.68   ,0.83  ,-1.08  ,-0.73
199005   ,3.14   ,4.68  ,11.13   ,6.45   ,8.82  ,11.07
199006  ,-0.08  ,-1.60  ,-2.37  ,-0.98   ,4.94  ,-0.05
199007   ,5.09  ,10.13  ,10.08   ,5.47   ,9.33   ,8.63
199008 ,-11.03 ,-11.88 ,-18.82 ,-13.03 ,-13.16 ,-16.67
199009  ,-6.23  ,-4.86  ,-8.14 ,-10.57 ,-12.37 ,-14.17
199010   ,1.49  ,-0.30  ,-0.14  ,-1.34   ,0.38  ,-0.34
199011  ,-4.00  ,-5.13  ,-3.33  ,-2.03  ,-3.50  ,-4.46
199012   ,3.15   ,3.09   ,2.96   ,1.85   ,3.54   ,1.09
199101   ,1.93   ,3.18   ,2.29   ,3.51   ,3.81   ,5.89
199102  ,21.02  ,11.97  ,11.86  ,21.57  ,12.88  ,12.40
199103   ,3.87   ,2.74  ,-0.18   ,2.14   ,2.46   ,5.45
199104  ,-1.40  ,-2.22   ,1.26  ,-2.71   ,2.81   ,1.84
199105  ,-0.92   ,3.57  ,-0.29  ,-0.12   ,2.17   ,1.66
199106  ,-2.77   ,0.04  ,-0.12  ,-5.61  ,-4.63  ,-4.56
199107  ,-4.59  ,-2.30  ,-3.33  ,-1.16   ,0.03  ,-1.44
199108  ,-1.37  ,-4.30  ,-2.03   ,1.17   ,0.14  ,-0.91
199109   ,0.02   ,0.10  ,-0.37  ,-1.24  ,-0.57  ,-1.18
199110  ,-1.01   ,0.73  ,-0.63   ,0.21  ,-0.25   ,1.52
199111   ,4.04   ,4.18   ,0.13   ,0.70   ,0.55  ,-1.07
199112   ,2.88   ,5.13   ,1.71   ,4.56   ,5.68   ,6.29
199201  ,17.01  ,12.15  ,15.41   ,9.12   ,6.98  ,11.13
199202   ,1.56  ,-2.20   ,0.66  ,-3.22  ,-3.72  ,-1.14
199203  ,-6.00   ,2.26  ,10.70  ,-4.42  ,-0.52   ,5.71
199204  ,14.86   ,2.34  ,-2.79   ,7.12   ,0.18  ,-2.83
199205   ,1.80  ,-0.74   ,1.69  ,-6.18  ,-2.54   ,0.39
