month_end,Size_Quintile1,Size_Quintile2,Size_Quintile3,Size_Quintile4,Size_Quintile5,BM_Quintile1,BM_Quintile2,BM_Quintile3,BM_Quintile4,BM_Quintile5,ProfitGPM_Quintile1,ProfitGPM_Quintile2,ProfitGPM_Quintile3,ProfitGPM_Quintile4,ProfitGPM_Quintile5,AssetGrowth_Quintile1,AssetGrowth_Quintile2,AssetGrowth_Quintile3,AssetGrowth_Quintile4,AssetGrowth_Quintile5,SalesGrowth_Quintile1,SalesGrowth_Quintile2,SalesGrowth_Quintile3,SalesGrowth_Quintile4,SalesGrowth_Quintile5,EVtoEBITDA_Quintile1,EVtoEBITDA_Quintile2,EVtoEBITDA_Quintile3,EVtoEBITDA_Quintile4,EVtoEBITDA_Quintile5,ROE_Quintile1,ROE_Quintile2,ROE_Quintile3,ROE_Quintile4,ROE_Quintile5,ROA_Quintile1,ROA_Quintile2,ROA_Quintile3,ROA_Quintile4,ROA_Quintile5,PS_Quintile1,PS_Quintile2,PS_Quintile3,PS_Quintile4,PS_Quintile5,EVSales_Quintile1,EVSales_Quintile2,EVSales_Quintile3,EVSales_Quintile4,EVSales_Quintile5,FCFYield_Quintile1,FCFYield_Quintile2,FCFYield_Quintile3,FCFYield_Quintile4,FCFYield_Quintile5,EPSGrowth_Quintile1,EPSGrowth_Quintile2,EPSGrowth_Quintile3,EPSGrowth_Quintile4,EPSGrowth_Quintile5,OCFGrowth_Quintile1,OCFGrowth_Quintile2,OCFGrowth_Quintile3,OCFGrowth_Quintile4,OCFGrowth_Quintile5,NetMargin_Quintile1,NetMargin_Quintile2,NetMargin_Quintile3,NetMargin_Quintile4,NetMargin_Quintile5,OpMargin_Quintile1,OpMargin_Quintile2,OpMargin_Quintile3,OpMargin_Quintile4,OpMargin_Quintile5,EBITDAMargin_Quintile1,EBITDAMargin_Quintile2,EBITDAMargin_Quintile3,EBITDAMargin_Quintile4,EBITDAMargin_Quintile5,DebtEquity_Quintile1,DebtEquity_Quintile2,DebtEquity_Quintile3,DebtEquity_Quintile4,DebtEquity_Quintile5,CurrentRatio_Quintile1,CurrentRatio_Quintile2,CurrentRatio_Quintile3,CurrentRatio_Quintile4,CurrentRatio_Quintile5,EarnYield_Quintile1,EarnYield_Quintile2,EarnYield_Quintile3,EarnYield_Quintile4,EarnYield_Quintile5,ROIC_Quintile1,ROIC_Quintile2,ROIC_Quintile3,ROIC_Quintile4,ROIC_Quintile5
1998-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
